importação;transformar para polígono?;comunidade associada;name;description;folder;type;geometry;
O;sim;agua-grande;CASARTI;Casa do Artista Independente e faz Parte do GAL;PCU  RJ - jul 2010;point;[u'-43.31670617667338,-22.82753848405432,0'];
não;;;;Delegacia 38ª DP;PCU  RJ - jul 2010;point;[u'-43.31683565003768,-22.8366335455034,0'];
R;sim;agua-grande;;Lan House do Alex;PCU  RJ - jul 2010;point;[u'-43.31509462848435,-22.82120148641738,0'];
R;sim;agua-grande;;Lan House Paranet;PCU  RJ - jul 2010;point;[u'-43.31698670047432,-22.82217371893963,0'];
R;sim;agua-grande;;Lan House X-net;PCU  RJ - jul 2010;point;[u'-43.31627786581115,-22.83030236249486,0'];
não;;;;Pto ônibus;PCU  RJ - jul 2010;point;[u'-43.31586687027524,-22.82655036140842,0'];
não;;;;pto ônibus;PCU  RJ - jul 2010;point;[u'-43.31742112009524,-22.82750777228036,0'];
não;;;;Correios;PCU  RJ - jul 2010;point;[u'-43.32248618004521,-22.82767759483405,0'];
não;;;;Correios;PCU  RJ - jul 2010;point;[u'-43.31831760443149,-22.83306769621392,0'];
não;;;CEASA DE IRAJÁ;Também faz parte do GAL Amigos do Meio Ambiente;PCU  RJ - jul 2010;point;[u'-43.33678849981803,-22.82815150000792,0'];
não;;;;Prezunic;PCU  RJ - jul 2010;point;[u'-43.31834232530945,-22.83461540080464,0'];
não;;;;Fábrica de Cimento Branco Irajazinho;PCU  RJ - jul 2010;point;[u'-43.3140992732128,-22.82354466414211,0'];
O;sim;agua-grande;;Capela São João Batista;PCU  RJ - jul 2010;point;[u'-43.3167621583812,-22.82551125487524,0'];
O;sim;agua-grande;;Bloco Pré Carnavalesco Encosta Que Ele Cresce;PCU  RJ - jul 2010;point;[u'-43.31682309213934,-22.82257275398062,0'];
O;sim;agua-grande;E. M. Maria Batistina Duffles Teixeira Lott;;PCU  RJ - jul 2010;point;[u'-43.31626488048551,-22.83176103390954,0'];
não;;;;posto de gasolina;PCU  RJ - jul 2010;point;[u'-43.32079932574953,-22.82777919465916,0'];
O;sim;agua-grande;E. M. Gaspar Viana;;PCU  RJ - jul 2010;point;[u'-43.32120315056418,-22.82564997097196,0'];
R;sim;agua-grande;;Lan house Fire Net;PCU  RJ - jul 2010;point;[u'-43.31887095878921,-22.82796165272177,0'];
O;sim;agua-grande;E. M. Luxemburgo;A única escola de jardim de infância (pré escolar) e que tem horário integarl. Poucas vagas para o integral e muitos alunos de fora do bairro.;PCU  RJ - jul 2010;point;[u'-43.31639437823777,-22.8230619514909,0'];
O;sim;agua-grande;E. M. Adlai Stevenson;;PCU  RJ - jul 2010;point;[u'-43.31532869420774,-22.82519673429074,0'];
O;sim;agua-grande;;"Clube GRAG
Clube GRAG: um espaço maravilhoso, muito grande mesmo. Fica fechado durante o dia e a noite só tem futebol e capoeira, e na maioria das vezes a própria populaçao não participa destas atividades pois são pagas (até porque o clube precisa de ssutento), porém não são bem exploradas. Há uma quadra abandonada atrás do clube precisando de reforma e paisagismo.
Tem um campo próprio (Campo do GRAG), muito grande, que uma vez já teve cinema ao ar livre.";PCU  RJ - jul 2010;point;[u'-43.31699594904033,-22.82504542728276,0'];
não;;;;Sendas;PCU  RJ - jul 2010;point;[u'-43.32131122520804,-22.82773350481909,0'];
O;sim;agua-grande;Grêmio de Vista Alegre;Faz parte do Gal, tem um ótimo espaço também que não é arpveitado pela comunidade.;PCU  RJ - jul 2010;point;[u'-43.31675920028419,-22.8285240443515,0'];
não;;;;ITAÚ;PCU  RJ - jul 2010;point;[u'-43.31808044890719,-22.82790476410225,0'];
não;;;;"Unibanco
Dentro do Supermercado Intercontinental";PCU  RJ - jul 2010;point;[u'-43.31875931516138,-22.82750490852661,0'];
não;;;;Bradesco;PCU  RJ - jul 2010;point;[u'-43.31922339862271,-22.82876640129387,0'];
não;;;;Unibanco;PCU  RJ - jul 2010;point;[u'-43.31924623906566,-22.8284778218712,0'];
não;;;;Academia;PCU  RJ - jul 2010;point;[u'-43.32147183070381,-22.82774313955689,0'];
não;;;Academia;;PCU  RJ - jul 2010;point;[u'-43.31706609694594,-22.8277028091094,0'];
R;sim;agua-grande;;"Campo do Grag
Sábados e domingos há jogos de futebol o dia todo. Já teve cinema ao ar livre";PCU  RJ - jul 2010;point;[u'-43.31694352326202,-22.8231191578016,0'];
R;sim;agua-grande;;Campo do Barrozo;PCU  RJ - jul 2010;point;[u'-43.3164409525674,-22.8222888338426,0'];
manual (outro endereço do GRAG?);;;;"Sede do Rôla Cansada
Sede do Campo do GRAG, onde os veteranos se reunem aos domingos durante e após o futebol, e às vezes alugam para festas.";PCU  RJ - jul 2010;point;[u'-43.31736427560024,-22.82314533647892,0'];
R;sim;agua-grande;;"Quadra Poliesportiva
Esta qudra tem +/- 1 ano e meio  e a SUDERJ usa para projeto de futebol";PCU  RJ - jul 2010;point;[u'-43.31771901818642,-22.82215105254883,0'];
R;sim;agua-grande;;"Quadra Poliesportiva do setor 7
Esta quadra é usada para projetos da SUDERJ de ginástica pela manhã e a noite.";PCU  RJ - jul 2010;point;[u'-43.31498901070164,-22.82074313182152,0'];
não;;;;"Shopping Via Brasil
Este projeto já existia há mais de 10 anos e este ano começaram as obras e a conclusão está prevista para setembro 2010. Será um grande avanço para o bairro e valorizaçao geral. Espero que melhorem também o transporte, que é muito precário.";PCU  RJ - jul 2010;point;[u'-43.31969495761575,-22.82273061386814,0'];
O;sim;agua-grande;Ascensão;Associaçao que já existe há mais de 15 anos, nasceu da Igreja Católica São Rafael e está buscando parceria para construçao da Casa do Idoso e da quadra polivalente, além de parceria para Inclusão Digital para Idosos, que são muitos na Comunidade.;PCU  RJ - jul 2010;point;[u'-43.32045170068951,-22.82267229882576,0'];
R;;agua-grande;;"Carro do Tamba
Tamba é morador muito antigop e com seu carro leva e trás pessoas pelas 6 ruas do mapeamento, pois temos muitas ladeiras e não há transporte público no entorno. Cobra 2,00 pelo transporte.";PCU  RJ - jul 2010;point;[u'-43.31656721003169,-22.82646267924618,0'];
N ;;agua-grande;;"Linhas de ônibus
Não há linhas suficientes para o centro da cidade que passe nas ruas de acesso do mapeamento. Só há 1 linha, que faz o itinerário Rocha Moiranda - Pça XV.
774 Madureira jd América
639 Saens Pena - Jd América
905 Bonsucesso - Irajá
Azulzinho: Av. Meriti (Vila Kosmos) - Vista Alegre, via shopping Carioca
561/ 562 Caxias - Freguesia ou Pau Ferro
Kombis para Madureira, Shopping Carioca, Jardim América";PCU  RJ - jul 2010;point;[u'-43.31568334582796,-22.82652741081722,0'];
N ;;agua-grande;;"Alagamento
Com Qualquer chuva é o suficiente para alagar este trecho do via de acesso, pois as ruas la de cima ( do mapeamento) descem por causa da ladeira e não há escoamento suficiente, logo fica intransitável.";PCU  RJ - jul 2010;point;[u'-43.31831879375539,-22.82780349141481,0'];
N ;;agua-grande;;"Não ha guarda Municipal
Este sinal é caótico na saída dos alunos do turno da manhã e na entrada do turno da tarde. Os motoristas não respeitsam o cruzamento, os estacionamentos, param no ponto de ônibus e causa uma confusão só. Seria de suma importância a presença da Guarda Municipal nesteshhorários.";PCU  RJ - jul 2010;point;[u'-43.31649096594569,-22.82677787708808,0'];
O;sim;agua-grande;Amulegre;"Amulegre Ass. de Mulheres
Existente desde 98 atua a favor da mulher e de sua família. Fazia sacolão e reciclagem de Pet. A partir de agosto retornará com o sacolão.";PCU  RJ - jul 2010;point;[u'-43.3160997862207,-22.82361162154921,0'];
não;;;;Benzedeira D. Helena;PCU  RJ - jul 2010;point;[u'-43.31648462150643,-22.82716108764603,0'];
não;;;;"Salão do Pedro
AS crianças, os adolescentes, e os adultos cortam cabelo neste salão";PCU  RJ - jul 2010;point;[u'-43.31664328839994,-22.8248213840741,0'];
O;sim;agua-grande;;Templo Evangélico;PCU  RJ - jul 2010;point;[u'-43.31643588271721,-22.82529166954193,0'];
O;sim;agua-grande;;Centro Espírita;PCU  RJ - jul 2010;point;[u'-43.3190985129123,-22.82230287270377,0'];
O;sim;agua-grande;;Templo Evangélico;PCU  RJ - jul 2010;point;[u'-43.31513860579713,-22.82205086649987,0'];
R;sim;agua-grande;Creche Municipal;Esta escola foi construída pela prefeitura, mais como sempre, não atende a demanda.;PCU  RJ - jul 2010;point;[u'-43.32202086132281,-22.8220521575955,0'];
não;;;;"Tia Angela
Mães que cuidam de crianças";PCU  RJ - jul 2010;point;[u'-43.31665398910304,-22.82358215955508,0'];
não;;;;Tia Kátia;PCU  RJ - jul 2010;point;[u'-43.31695304058869,-22.82202264213965,0'];
não;;;;Tia Silvia;PCU  RJ - jul 2010;point;[u'-43.31500331816987,-22.82124734313776,0'];
O;sim;agua-grande;Núcleo de Artes Grecia;O núcle é muito bom, tem teatro, dança, artes visuais, literária, produçao de vídeo e instrumentos musicais. Porém, muitas crianças não conseguem ir até o fim pois o transporte encarece e os pais não conseguem custear a passagem. Uma pena!!!;PCU  RJ - jul 2010;point;[u'-43.31227665353273,-22.83756933163913,0'];
não;;;;Explicadora Tia Fátima;PCU  RJ - jul 2010;point;[u'-43.31574469350814,-22.82471906692035,0'];
não;;;;explicadora;PCU  RJ - jul 2010;point;[u'-43.31614942029141,-22.82490997626089,0'];
não;;;;explicadora;PCU  RJ - jul 2010;point;[u'-43.31565880700025,-22.82569196452933,0'];
não;;;;feira aos domingos;PCU  RJ - jul 2010;point;[u'-43.31711545570165,-22.82812805916151,0'];
não;;;;feira as 6ªs feiras;PCU  RJ - jul 2010;point;[u'-43.31752106827267,-22.82876688082515,0'];
não;;;;explicadora;PCU  RJ - jul 2010;point;[u'-43.31687677047292,-22.82373997576949,0'];
O;sim;agua-grande;;Projeto Suderj na Praça;PCU  RJ - jul 2010;point;[u'-43.31709897085943,-22.82582984273873,0'];
R;sim;quitungo;GAL Atitude;"Área de atuação: Quitungo e Favela da Mangueirinha. 
Comunidade do Quitungo:
A comunidade do Quitungo é um conjunto habitacional.
Composição do Gal: Olivart Centro Cultural,Associação de Moradores,Projeto ASKS,Projeto de Reciclagem,Grupo de Comunidade,Grupo de Jovens<Grupo Esportivo e a Divisão de Combate a Dengue.";PCU  RJ - jul 2010;point;[u'-43.29931999991074,-22.83419599997639,0'];
O;sim;quitungo;E. M. Miguel Gustavo;Única escola dentro da comunidade.;PCU  RJ - jul 2010;point;[u'-43.30223546211236,-22.83496817916642,0'];
O;sim;quitungo;Creche Sagrado Coração de Maria;creche pertencente a Igreja Santo Antônio.;PCU  RJ - jul 2010;point;[u'-43.3015474766843,-22.83436109734417,0'];
O;sim;quitungo;Creche CEACRE;creche particular fora da comunidade.;PCU  RJ - jul 2010;point;[u'-43.30101005366824,-22.83803544890138,0'];
O;sim;quitungo;Creche Altamira;creche dentro da comunidade que atende crianças de 0 a 4 anos;PCU  RJ - jul 2010;point;[u'-43.29834025970939,-22.83430437314731,0'];
O;sim;quitungo;E. M. Professor Ary Quintela;Escola fora da comunidade.;PCU  RJ - jul 2010;point;[u'-43.29975564314503,-22.83944225813681,0'];
O;sim;quitungo;E. M. Fernando Tude de Souza;escola que atende aos jovens da comunidade.;PCU  RJ - jul 2010;point;[u'-43.29992010112531,-22.8383620110756,0'];
O;sim;quitungo;E. M. João Marques dos Reis;atende as crianças da comunidade.;PCU  RJ - jul 2010;point;[u'-43.29995021171593,-22.8380857902483,0'];
O;sim;quitungo;Hospital Semel;hospital que atendem aos idosos.;PCU  RJ - jul 2010;point;[u'-43.30215559468171,-22.83406024358618,0'];
O;sim;quitungo;Associação de moradores – Quitungo;atende assuntos referntes a comunidade em geral.;PCU  RJ - jul 2010;point;[u'-43.30123021702372,-22.83633591105015,0'];
O;sim;quitungo;Olivart Centro Cultural;atende projetos culturais, esportivos e prevenções.;PCU  RJ - jul 2010;point;[u'-43.3014931551001,-22.836369231295,0'];
R;sim;quitungo;;"Campo do Aliança
Projetos de futebol.";PCU  RJ - jul 2010;point;[u'-43.30209375179346,-22.83700553221101,0'];
R;sim;quitungo;;"Campo da Lixeira
projetos de futebol e ponto de lazer dos jovens.";PCU  RJ - jul 2010;point;[u'-43.29831925449629,-22.83542290677114,0'];
R;sim;quitungo;;"Praça Lagoa Mirim
Praça de lazer ao lado do campo.";PCU  RJ - jul 2010;point;[u'-43.30212814150362,-22.83752835639829,0'];
não;;;;"Ponto de onibus
Ponto que dá acesso a comunidade.";PCU  RJ - jul 2010;point;[u'-43.29963707790501,-22.83856935790731,0'];
não;;;;"Ponto de onibus
ponto de acesso a comunidade.";PCU  RJ - jul 2010;point;[u'-43.3015414438445,-22.83852483132962,0'];
não;;;;"ponto de ônibus
ponto de acesso da comunidade.";PCU  RJ - jul 2010;point;[u'-43.30229053861834,-22.83367151869901,0'];
não;;;;"Ponto de ônibus
Ponto de acesso a comunidade.";PCU  RJ - jul 2010;point;[u'-43.303925,-22.83531666666666,0'];
O;sim;quitungo;;"Igreja Santo Antônio
atendem projetos de dança,capoeira e AA.";PCU  RJ - jul 2010;point;[u'-43.30219366494845,-22.83434381912673,0'];
não;;;;"JMG Mercearia e Quitanda Ltda ME
mercado próximo a comunidade.";PCU  RJ - jul 2010;point;[u'-43.30437338453548,-22.83522647018417,0'];
R;;jardim-palmares;Área de abrangência do GAL Berço dos Sonhos;;PCU  RJ - jul 2010;polys;[u'-43.63435,-22.893572,0', u'-43.635719,-22.893768,0', u'-43.636925,-22.894482,0', u'-43.638039,-22.895351,0', u'-43.639626,-22.894758,0', u'-43.640915,-22.893572,0', u'-43.641514,-22.892565,0', u'-43.642887,-22.892426,0', u'-43.644562,-22.892662,0', u'-43.645332,-22.892466,0', u'-43.64542,-22.891556,0', u'-43.645332,-22.890528,0', u'-43.644817,-22.885071,0', u'-43.644691,-22.884617,0', u'-43.64426,-22.884418,0', u'-43.643574,-22.884142,0', u'-43.642117,-22.883806,0', u'-43.640015,-22.883253,0', u'-43.638039,-22.88269800000001,0', u'-43.636581,-22.882462,0', u'-43.635765,-22.882641,0', u'-43.634991,-22.883192,0', u'-43.634026,-22.883984,0', u'-43.632996,-22.884953,0', u'-43.631729,-22.886177,0', u'-43.631042,-22.886496,0', u'-43.630508,-22.887049,0', u'-43.630142,-22.887838,0', u'-43.630119,-22.890112,0', u'-43.630421,-22.890844,0', u'-43.630871,-22.891298,0', u'-43.63229,-22.892147,0', u'-43.63435,-22.893572,0'];
não;;;Berço dos Sonhos;R. Sd. Ramis Mendes - Paciência - Rio de Janeiro - RJ<br>;PCU  RJ - jul 2010;point;[u'-43.63753638494556,-22.88790425218237,0'];
R;sim;itapuca;Gal Cidadão do Futuro;itapuca;PCU  RJ - jul 2010;point;[u'-43.55719249039758,-23.02466056238295,0'];
O;sim;itapuca;E. M. Prof. Vieira Fazenda;;PCU  RJ - jul 2010;point;[u'-43.568716178298,-23.06113725174344,0'];
O;sim;itapuca;E.M. Floripes Anglades Lucas;;PCU  RJ - jul 2010;point;[u'-43.55509505853927,-23.05324622812368,0'];
não;;;Dr. Mourão  Filho;;PCU  RJ - jul 2010;point;[u'-43.56845105867627,-23.06602643645518,0'];
não;;;;corpo  de bombeiros;PCU  RJ - jul 2010;point;[u'-43.56854682002444,-23.06634254058258,0'];
esclarecer;;;;Max  Cana;PCU  RJ - jul 2010;point;[u'-43.55229336602146,-23.02790953695062,0'];
O;sim;itapuca;;pastoral da  criança  sagrada  coração  e  santa  lusia;PCU  RJ - jul 2010;point;[u'-43.55743822171252,-23.03571041722327,0'];
R;sim;itapuca;;campo  de  futebol;PCU  RJ - jul 2010;point;[u'-43.55626708212491,-23.02755780330061,0'];
R;sim;itapuca;;campo  de  futebol  na  mare;PCU  RJ - jul 2010;point;[u'-43.55953565043607,-23.03774977264959,0'];
não;;;;bomba  dagua  est  da  varginha;PCU  RJ - jul 2010;point;[u'-43.55715956964464,-23.04148875908097,0'];
R;sim;itapuca;;Portal  Grumari;PCU  RJ - jul 2010;point;[u'-43.53662954437968,-23.05147863337386,0'];
O;sim;itapuca;;igreja  petecostal;PCU  RJ - jul 2010;point;[u'-43.56100164267011,-23.03476872608846,0'];
O;sim;itapuca;;igreja  evangelica tenda;PCU  RJ - jul 2010;point;[u'-43.55981623989183,-23.03513284927756,0'];
O;sim;itapuca;;igreja  evangelica  batista;PCU  RJ - jul 2010;point;[u'-43.5559576328637,-23.05313319862101,0'];
não;;;;Rest  Garolpão;PCU  RJ - jul 2010;point;[u'-43.55488725893648,-23.02539561947297,0'];
não;;;;Rest Tia Penha;PCU  RJ - jul 2010;point;[u'-43.55835199064352,-23.04002769881172,0'];
não;;;;mercado  são  mateus  estr  roberto  burlle  max;PCU  RJ - jul 2010;point;[u'-43.55887849582683,-23.05608009855703,0'];
não;;;;Rest Posso Fico;PCU  RJ - jul 2010;point;[u'-43.56267237303371,-23.03387930841017,0'];
R;sim;mineiros;GAL Crescer e Viver;"Temos a ONG EDUCAP
Creche Justino Russollino
Escola Henrique Fóreis
Quadra da Canita
Padarias, Fármacia, Mercearia";PCU  RJ - jul 2010;point;[u'-43.2811851900807,-22.86023007997619,0'];
não;;;Matinha;Comunidade do Complexo do Alemão;PCU  RJ - jul 2010;point;[u'-43.28392653440107,-22.85966498136947,0'];
não;;;Morro dos Mineiros;;PCU  RJ - jul 2010;point;[u'-43.2797557671884,-22.85764489230905,0'];
O;sim;mineiros;E. M.l Prof. Mourão Filho;Essa escola ela só tem Ensino Fundamental e funciona no turno Manhã, Tarde e Noite.;PCU  RJ - jul 2010;point;[u'-43.26949126722636,-22.86506454223387,0'];
O;sim;mineiros;E. M.l Olavo Josino de Salles;Esta escola so tem ensino fundamental e funciona nos turnos manhã, tarde e noite;PCU  RJ - jul 2010;point;[u'-43.28549639794819,-22.86944756309071,0'];
O;sim;mineiros;E. M.l Henrique Fóreis;Esta escola só tem ensino fundamental, e atende só manhã e tarde;PCU  RJ - jul 2010;point;[u'-43.2847891823087,-22.86342023349225,0'];
O;sim;mineiros;E.M. Nereu Sampaio;Esta escola so tem ensino fundamental e funciona nos turnos manhã, tarde e noite;PCU  RJ - jul 2010;point;[u'-43.28874813784656,-22.8680059726958,0'];
O;sim;mineiros;E. M. Ceara;Essa escola só tem ensino fundamental e atende nos turnos manhã e tarde.;PCU  RJ - jul 2010;point;[u'-43.28355016547353,-22.87254939745342,0'];
O;sim;mineiros;E. M. Barão de Macaúbas;Essa escola só tem ensino fundamental e atende nos turnos manhã, tarde e ensino médio a noite;PCU  RJ - jul 2010;point;[u'-43.28294844811652,-22.87327116215154,0'];
O;sim;mineiros;Creche Justino Russollilo;"A creche atende crianças de 2 anos até os 4 anos e encaminha para alguma escola perto da comunidade.
Essa creche tem parceria com a igreja católica (Paroquia São Sebastião de Olaria).";PCU  RJ - jul 2010;point;[u'-43.28042334148248,-22.85867205489781,0'];
O;sim;mineiros;CIEP Coronel Sarmento;Atende o Ensino fundamental (até o 5º ano antiga 4°série de 07:00 ás 16:00).;PCU  RJ - jul 2010;point;[u'-43.27650694148822,-22.87237725769526,0'];
O;sim;mineiros;E. M. Gustavo Armbrust;Essa escola só tem Ensino Fundamental e atende manhã e tarde.;PCU  RJ - jul 2010;point;[u'-43.27488171403969,-22.87449507526295,0'];
O;sim;mineiros;E. M. Nicolau Antônio Taunnay;Essa escola so tem Ensino Fundamental e atende manhã e tarde.;PCU  RJ - jul 2010;point;[u'-43.27574724400259,-22.87505685239841,0'];
O;sim;mineiros;Classe em Cooperaçao Domingos Bebianos;essa escola so tem Ensino Fundamental e atende manhã e tarde;PCU  RJ - jul 2010;point;[u'-43.27781354465903,-22.87392385520391,0'];
O;sim;mineiros;Creche-Escola Comunitária;Creche-Escola Comunitária Mãe Social;PCU  RJ - jul 2010;point;[u'-43.27926150535338,-22.85950064324868,0'];
não;;;;mãe crecheira (Jupiara);PCU  RJ - jul 2010;point;[u'-43.28218587065214,-22.86054133858777,0'];
não;;;;"Explicadora (Viviane)
Explicadora de Ensino Fundamental e Ensino Médio até o 1° ano.";PCU  RJ - jul 2010;point;[u'-43.28155042814848,-22.85681602465033,0'];
não;;;;explicadora (Monike);PCU  RJ - jul 2010;point;[u'-43.28223951948744,-22.86074936819893,0'];
não;;;;explicadora (Deise);PCU  RJ - jul 2010;point;[u'-43.28378843890976,-22.86026021798302,0'];
O;sim;mineiros;PAM Rodolpho Rocco (PAM de Del Castilho);PAM - Onde os moradores buscam assistência em caso de emergência e outras (Pediatria, Ortopedista, Vacinação, Angiologista, Cardiologista, Dentista, Ginecologista, etc.);PCU  RJ - jul 2010;point;[u'-43.27260608763292,-22.87247149546662,0'];
O;sim;mineiros;C.M.l Saúde Ariadne L. Menezes;C.M.l de Saúde Ariadne Lopes Menezes: Atende a comunidade tem assistência (Pediatria, Dermatologista, Dentista, etc.).;PCU  RJ - jul 2010;point;[u'-43.29707048554691,-22.86921530892852,0'];
O;sim;mineiros;Ass. Mor. dos Mineiros;Org. comunitária onde funciona o Clube de Adolescentes;PCU  RJ - jul 2010;point;[u'-43.27996600296191,-22.85924146868481,0'];
O;sim;mineiros;EDUCAP;Org. comunitária onde funciona o Clude de Adolescentes;PCU  RJ - jul 2010;point;[u'-43.28346908632951,-22.86013470891845,0'];
R;sim;mineiros;;"Campo do Everest
Onde tem  eventos(festas, Futebol).";PCU  RJ - jul 2010;point;[u'-43.27534707018668,-22.87172801999382,0'];
O;sim;mineiros;V. Olímpica Carlos Castilho;"Vila Olímpica Carlos Castilho
Oferece oficinas de esporte e lazer para a comunidade.";PCU  RJ - jul 2010;point;[u'-43.26903489349616,-22.86019034459116,0'];
R;sim;mineiros;;"Quadra da Canitá
Local de lazer da comunidade, onde acontecem eventos como o baile";PCU  RJ - jul 2010;point;[u'-43.27943178895671,-22.85988024193711,0'];
R;sim;mineiros;;Campo do Sargento;PCU  RJ - jul 2010;point;[u'-43.28563617154786,-22.8604264813451,0'];
R;sim;mineiros;;Praça dos Mineiros;PCU  RJ - jul 2010;point;[u'-43.28047375684946,-22.85650501740552,0'];
R;sim;matinha;;Largo da Matinha;PCU  RJ - jul 2010;point;[u'-43.28315945265194,-22.85934117643501,0'];
R;;mineiros;;"Pedra do Zé Velário
pedra onde as crianças brincam";PCU  RJ - jul 2010;point;[u'-43.28092437230659,-22.85733751287432,0'];
R;sim;mineiros;;lan house;PCU  RJ - jul 2010;point;[u'-43.27937261609623,-22.85889547426054,0'];
R;sim;matinha;;lan house;PCU  RJ - jul 2010;point;[u'-43.28305258222272,-22.85930072967155,0'];
R;sim;matinha;;lan house;PCU  RJ - jul 2010;point;[u'-43.28246906429997,-22.85985620165817,0'];
não;;;;"Ponto de ônibus (grota)
As linhas de ônibus que circulam por esse ponto sao:
908- A linha de ônibus mais rápida.
312- Demora e é uma das únicas linhas de ônibus que permite a entrada de estudantes, idosos e deficientes sem Riocard
623- Não demora mais não permite a entrada de estudantes sem o Riocard
622/621- Demoram mais permitem a entrada de estudante sem Riocard
485(Caxias - (Itararé)Pilares)- Passam de vinte em vinte minutos não é mais permitido a entrada de estudantes sem Riocard se não estiver Riocard não adianta nem pedir por que eles naum deixam entrar
494(Caxias - (25 de Agosto/Cidade Alta)Pilares)-Passam de 40 em 40 minutos por demorar tanto vem sempre lotado  se o motorista estiver de bom humor ele deixa estudante sem Riocard entrar se não estiver nem param";PCU  RJ - jul 2010;point;[u'-43.26730071767511,-22.85936770886568,0'];
não;;;;"Ponto de ônibus (Canita)
292- Demora  e vem cheio
629- É rápido e abre pra estudantes sem Riocard
311- Demora e vem lotado
687- É rápido e alguns motoristas deixam os estudantes entrarem sem o RioCard
896- Demora e não deixam os estudantes passarem sem Riocard";PCU  RJ - jul 2010;point;[u'-43.28657185664925,-22.86750631912851,0'];
não;;;;Largo das Kombis;PCU  RJ - jul 2010;point;[u'-43.28101944444445,-22.86024722222222,0'];
R;;mineiros;;"Moto Taxi
Meio de Transporte de circulaçao pelos moradores para circular pela comunidade.";PCU  RJ - jul 2010;point;[u'-43.28603493473261,-22.86736273310495,0'];
R;;mineiros;;"Moto Taxi
Meio de transporte dos moradores pela comunidade.";PCU  RJ - jul 2010;point;[u'-43.26764816978996,-22.85975568787058,0'];
R;;mineiros;;Centro Espirita Euripides de Basanufo;PCU  RJ - jul 2010;point;[u'-43.28163298782148,-22.86057244856751,0'];
O;sim;mineiros;;Centro Espiríta;PCU  RJ - jul 2010;point;[u'-43.28562494456745,-22.86357346647036,0'];
O;sim;mineiros;;Centro Espírita;PCU  RJ - jul 2010;point;[u'-43.28353477395451,-22.85898468956153,0'];
O;sim;mineiros;;"Igreja São Thiago
Instituição Religiosa Católica";PCU  RJ - jul 2010;point;[u'-43.28212618707069,-22.87336171639963,0'];
O;sim;mineiros;;Igreja N. Sra. das Graças;PCU  RJ - jul 2010;point;[u'-43.28018335825982,-22.85820619301403,0'];
O;sim;mineiros;;Congregação Cristã do Brasil;PCU  RJ - jul 2010;point;[u'-43.27964944859418,-22.85881666455297,0'];
não;;;;Posto de Gasolina;PCU  RJ - jul 2010;point;[u'-43.27835834063713,-22.87366514092441,0'];
não;;;;Supermercado Guanabara;PCU  RJ - jul 2010;point;[u'-43.29401178880976,-22.8642864637478,0'];
não;;;;"Sacolão
Único sacolão que funciona de Domingo a Domingo (de Segunda a Sábado de 07:00 ás 20:00 e aos Domingos de 07:00 ás 14:00).";PCU  RJ - jul 2010;point;[u'-43.28573552768378,-22.86209266558501,0'];
não;;;;padaria;PCU  RJ - jul 2010;point;[u'-43.28351152558704,-22.86047851599458,0'];
não;;;;loja de armarinho;PCU  RJ - jul 2010;point;[u'-43.28256004733199,-22.86037413734584,0'];
não;;;;padaria;PCU  RJ - jul 2010;point;[u'-43.2794186651349,-22.8591615556243,0'];
não;;;;bar da Da. Otília;PCU  RJ - jul 2010;point;[u'-43.27971055071804,-22.85955111705792,0'];
não;;;;Mercadinho N. Esperança;PCU  RJ - jul 2010;point;[u'-43.28153866246657,-22.86031270357196,0'];
não;;;;lojinha da Plus Vita;PCU  RJ - jul 2010;point;[u'-43.28171176309942,-22.86044958599599,0'];
não;;;;mercearia do Evandro;PCU  RJ - jul 2010;point;[u'-43.27871952875726,-22.8586255836695,0'];
não;;;;padaria;PCU  RJ - jul 2010;point;[u'-43.2794186651349,-22.8591615556243,0'];
não;;;;Bar do Gerci;PCU  RJ - jul 2010;point;[u'-43.27974535145986,-22.85857772140163,0'];
não;;;;padaria;PCU  RJ - jul 2010;point;[u'-43.2794186651349,-22.8591615556243,0'];
não;;;;Bar do  João;PCU  RJ - jul 2010;point;[u'-43.28039410465188,-22.85654224713765,0'];
não;;;;Bar do Zeca;PCU  RJ - jul 2010;point;[u'-43.28048768256149,-22.85664061408623,0'];
não;;;;farmácia;PCU  RJ - jul 2010;point;[u'-43.28271858085518,-22.8603593657945,0'];
não;;;;Bar do Isaías;PCU  RJ - jul 2010;point;[u'-43.28037979558567,-22.85818338770768,0'];
não;;;;beco Da. Edite;PCU  RJ - jul 2010;point;[u'-43.2831650483194,-22.86011010981452,0'];
R;;barro-vermelho;Área de abrangência do GAL CRIADO;Área de abrangência do GAL CRIADO;PCU  RJ - jul 2010;polys;[u'-43.65855,-22.911697,0', u'-43.657696,-22.912111,0', u'-43.657413,-22.912428,0', u'-43.657608,-22.913418,0', u'-43.657051,-22.914543,0', u'-43.656578,-22.915808,0', u'-43.655762,-22.917606,0', u'-43.656986,-22.91741,0', u'-43.658295,-22.917231,0', u'-43.66074,-22.916895,0', u'-43.661064,-22.916857,0', u'-43.661236,-22.914562,0', u'-43.660568,-22.914484,0', u'-43.660419,-22.914248,0', u'-43.659538,-22.913931,0', u'-43.658894,-22.913397,0', u'-43.658703,-22.912704,0', u'-43.65855,-22.911697,0'];
