name;description;folder;type;geometry
"";"camelo educativo - mulheres";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25878910051656,-22.63885811572449,0']"
"";"camelo educativo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25618777888589,-22.65692550877844,0']"
"G7";"G7 assistencia comunitária";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25496123874923,-22.65051859816734,0']"
"Natividade";"Natividade<br>instituição parceira";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25845811363477,-22.64542269224198,0']"
"Rádio comunitária";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26660984045908,-22.63727460283195,0']"
"CIEP Henfil";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25999708597443,-22.6489233149438,0']"
"C. M. Gama Borges";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25822614316637,-22.64614833181198,0']"
"C. E. Padre Anchieta";"palestra mulheres";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26568885771417,-22.63618079075507,0']"
"Atendimento a mulheres";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25910451140375,-22.63857191253095,0']"
"";"igreja evangelica<br>igreja Metodista";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2572986361861,-22.65363901501891,0']"
"";"igreja catolica<br><br>igreja são francisco de assis";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26116843318923,-22.64731659626101,0']"
"";"centro religioso espirita";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26120029539456,-22.6413981416215,0']"
"Posto de Saúde";"parque equitativa";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26577383657682,-22.63528624957009,0']"
"Área de lazer";"campo do Paulistano";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26378501998956,-22.64125436869935,0']"
"Praça Equitativa";"área de atuação de camelo educativo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26627436675215,-22.6357114030032,0']"
"Centro esportivo - Torneio de Futebol";"Samucão";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26296652742374,-22.64128368113797,0']"
"Área de lazer";"campo do botafoguinho";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25345319726274,-22.65565758773008,0']"
"Cidade do Parque Paulista";"";"Cidade de Deus - Mapa PCU";"polys";"[u'-43.27068496766923,-22.63819864840113,0', u'-43.26554521535567,-22.65243769328257,0', u'-43.25132300439264,-22.65963303775544,0', u'-43.24521532445031,-22.65566597877685,0', u'-43.24746544831525,-22.65206901522086,0', u'-43.24621984631003,-22.65088259894845,0', u'-43.25164314984739,-22.64291053354778,0', u'-43.25545946301788,-22.64139003422894,0', u'-43.25995760163967,-22.63289825571321,0', u'-43.27068496766923,-22.63819864840113,0']"
"mercado do André";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25464451191731,-22.65270648884253,0']"
"mercado tradição";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26096938875001,-22.64782606505955,0']"
"supermercado Celma";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26482904795111,-22.63702774144024,0']"
"bar do Carlos Pedro";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26108210535375,-22.64744721357905,0']"
"Centro Apoio Social Mulheres";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35427525149976,-22.90646963072481,0']"
"Casa da Juliana";"Camelô educativo casa da Juliana";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35251689634412,-22.90921317262877,0']"
"Camelô e evento do Dia das Mães no Vale da Mata";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35165759911433,-22.90796790557469,0']"
"Creche Emilia Joana";"Camelô na Creche";"Cidade de Deus - Mapa PCU";"point";"[u'-43.3529536587878,-22.90749117939869,0']"
"Igreja Batista";"Camelô na Igreja Batista";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35447812868751,-22.90738101523422,0']"
"CIEP";"Camelô no CIEP";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35747937969821,-22.90609639346846,0']"
"Grota";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35223308228942,-22.90693988756013,0']"
"Bela Vista";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35480995578749,-22.90950777598727,0']"
"Ponto de Ônibus";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35632584455636,-22.90377292461719,0']"
"Moto Taxi";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35630328237081,-22.90457384255031,0']"
"Moto táxi do Tanque";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36856461590453,-22.90849930395574,0']"
"Ciep Lindofo Color";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35684214867855,-22.90648652295458,0']"
"Vila  Olímpica";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35726917646868,-22.90842590301891,0']"
"Pam da Praça Seca";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.34737071135885,-22.9026635847971,0']"
"Posto de Saude";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.3710499605038,-22.90986745977443,0']"
"";"campo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35438923197513,-22.90555186030216,0']"
"";"Mangueiral";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35454146576397,-22.90809204207022,0']"
"Casinhas Brancas";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35255576858496,-22.90804250759343,0']"
"Bela Vista";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35415445361987,-22.90999840109044,0']"
"Vale da Mata";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.351805400878,-22.90882855069629,0']"
"Ass. de Moradores";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35400892378522,-22.90614339735435,0']"
"Futebol e evento do Dia das Crianças";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35463222048038,-22.9082627664856,0']"
"";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35411822786457,-22.90641829478634,0']"
"";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35452627637471,-22.90652087284238,0']"
"Movimento de Mulheres Vitória Régia";"R. Itapiuna, 97 - Campo Grande, Rio de Janeiro - RJ, 23095-020, Brasil<br><br>Rodas conversa<br>Evento Dia das Mães<br><br>Evento comunitário sobre cuidados na gravidez e com o bebê";"Cidade de Deus - Mapa PCU";"point";"[u'-43.56293338803837,-22.8747731933665,0']"
"Centro do Pedregoso";"camelo educativo centro do pedregoso";"Cidade de Deus - Mapa PCU";"point";"[u'-43.55961786134032,-22.87033439524705,0']"
"Favela do Quiabo";"camelô";"Cidade de Deus - Mapa PCU";"point";"[u'-43.56096599826007,-22.87839167544173,0']"
"Ponto de Kombi";"camelo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.56345443362745,-22.87316310857576,0']"
"Santa Cecília";"camelo educativo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.5574995165439,-22.8717673615377,0']"
"Ass. Mor. do Jardim Jardim São Geraldo";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.55938633186827,-22.86787771767014,0']"
"Igreja de São Braz";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.56714899977752,-22.85818500113679,0']"
"E. M. Maria Izabel";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.56035217516928,-22.87566123258081,0']"
"E. M. Jair Tavares";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.56347367871126,-22.87397891658513,0']"
"CIEP Helio Pelegrino";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.56418964298356,-22.87760844259634,0']"
"Casa de Betânia";"Sitio Betania Jesus Mestre<br><br>(roda de conversa)";"Cidade de Deus - Mapa PCU";"point";"[u'-43.52012513386811,-22.88202339942461,0']"
"Café da manhã educativo";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.5627461843556,-22.87638603462454,0']"
"Jardim Letícia";"- roda de conversa com jogos";"Cidade de Deus - Mapa PCU";"point";"[u'-43.56973604565754,-22.87293811351952,0']"
"Centro Social e Cultural Tatiane Lima";"Cine Pipoca, roda de conversa, distribuiçao de preservativo, aconselhamentos gerais.<br>Aula de copoeira, kumk Fu, palestra com atletas.<br>Papo de Menina";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42746910954119,-22.86253963585504,0']"
"Associação de Moradores";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42540202672946,-22.86227130413601,0']"
"Camelô Educativo";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.4264434727818,-22.86415132845119,0']"
"Futebol";"Tenda do camêlo Educativo no Futebol";"Cidade de Deus - Mapa PCU";"point";"[u'-43.43165886582519,-22.86412408710195,0']"
"Ponto de Onibus";"Camêlo Educativo_Ponto de Onibus Av. Brasil<br>Meio ambiente (junho) e DST/Aids";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42573945067685,-22.86536977450662,0']"
"Paletra para Gestantes";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.4273328303997,-22.86252324463483,0']"
"Palestra com jovens dos cursos UPP";"Palestra com jovens dos cursos UPP";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42431084280457,-22.86151681764974,0']"
"Palestra  com crianças";"Palestra  com crianças do ensino fundamental";"Cidade de Deus - Mapa PCU";"point";"[u'-43.4250777925944,-22.86498357649604,0']"
"UPP";"14ª Batalhão";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42426506461577,-22.86156994830184,0']"
"Creche Machado";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42913419876133,-22.86095189013498,0']"
"E.M. Costa do Marfim";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.4251775468814,-22.86493643343665,0']"
"Futura Instalação da Creche da Comunidade";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42378376656912,-22.86271337637771,0']"
"FAETEC";"Campo do Barro";"Cidade de Deus - Mapa PCU";"point";"[u'-43.4247875940496,-22.86121507345027,0']"
"Campo do Bahia";"Campo de Futbol<br>Saúde do Homem e DST";"Cidade de Deus - Mapa PCU";"point";"[u'-43.43116990126011,-22.86404738664457,0']"
"";"Praça Lyda Monteiro da Silva";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42360466571561,-22.86483138145805,0']"
"Torneio de futbol";"Praça e Campo de Futebol Stº Adolfo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42962231895018,-22.85972267724608,0']"
"Abrigo de idosos do Sase";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.43274318179574,-22.86393102839918,0']"
"Morrão (invasão)";"Morrão(invasão)";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42243647126598,-22.861772009815,0']"
"Camelô educatico";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42730631109704,-22.86273818744821,0']"
"Camelô educativo";"Esportes e DST";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42937318742433,-22.85996984932122,0']"
"Palestras e roda de conversa com a 'Melhor idade'";"Palestras e roda de conversa com melhor idade";"Cidade de Deus - Mapa PCU";"point";"[u'-43.43266661618701,-22.8637715678297,0']"
"";"Sacolão Preço Bom";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42596743959522,-22.86456270775037,0']"
"";"farmacia bealty";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42660453824256,-22.86369429742534,0']"
"";"farmacia";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42683274720363,-22.8640864767972,0']"
"";"Padaria Alena";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42680533795357,-22.86395116354039,0']"
"";"Mercadinho Alena";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42680508769606,-22.86374313748119,0']"
"";"Igreja Católica Nossa Senhora Aparecida";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42714137578862,-22.86417121913167,0']"
"";"Igreja Assembleia de Deus Pastor Alelua";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42474124468282,-22.86304558014873,0']"
"";"Igreja Monte Alegre";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42426593737293,-22.8649551524329,0']"
"";"1ªIgreja Batista da Av. brasil";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42681041415659,-22.86492871847255,0']"
"";"lanhouse do  Marcos";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42587777777778,-22.86463961403317,0']"
"";"lanhouse arena";"Cidade de Deus - Mapa PCU";"point";"[u'-43.42653909627963,-22.86383812032014,0']"
"Camelô Educativo";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.3093523976255,-22.85088292731614,0']"
"Camelô Educativo";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30597051338977,-22.85000673735731,0']"
"Camelô Educativo";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30380878132756,-22.84601575865345,0']"
"Camelô Educativo";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30117924894942,-22.85015975408802,0']"
"Ass. de moradores";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30584527636128,-22.84950276959183,0']"
"Ass. de Mulheres de Vila Kosmos";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30170092127269,-22.84934003273993,0']"
"E.M. Cecília Meireles";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30432936925109,-22.84897109089295,0']"
"E. M. Desembargador Montenegro";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30458031499688,-22.8477801669751,0']"
"Instituto Kodokan";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.3036989400705,-22.84690368083493,0']"
"Quadra da Rua F";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30611897502235,-22.85001936064792,0']"
"moto taxi";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30763819418639,-22.84974619860415,0']"
"Igreja Nossa Senhora do Carmo";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30785798836021,-22.85001204259033,0']"
"Trayler da D. Nair";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30754707565978,-22.84983709148219,0']"
"Bar da Baiana - Bingo";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30135417307057,-22.84988664020658,0']"
"Bar do Luis -  Ação comunitária comemorativa";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30152181914463,-22.85005023289753,0']"
"";"lan house";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30431628358072,-22.85041908235082,0']"
"roda de conversa";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.301668380165,-22.84969977124077,0']"
"Cine Pipoca";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30166537055278,-22.84964264123153,0']"
"Oficina sobre Cuidados com o Meio Ambiente e Reciclagem";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30452013630627,-22.84786797413334,0']"
"Festa de Fim de ano";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30220750241387,-22.8494122364237,0']"
"Movimento de Mulheres Pq. Horácio";"R. Couto de Magalhães, 199 - Benfica, Rio de Janeiro - RJ, 20930-090, Brasil";"Cidade de Deus - Mapa PCU";"point";"[u'-43.238018,-22.892053,0']"
"";"camelo educativo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23807290315459,-22.89230353094069,0']"
"";"camelo educativo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23562700480638,-22.88788871150208,0']"
"";"roda de conversa";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23678260384867,-22.88953432390754,0']"
"Creche Pequeno Aprendiz";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.237147,-22.88895,0']"
"Creche Mun. Ataulfo Alves";"Atende 67 crianças de 2 a 4 anos,situada Rua Primeira";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23012576920694,-22.88980148265105,0']"
"E. M. Alice Amaral Peixoto";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23631494417014,-22.88965674864007,0']"
"E. M. Cardeal Leme";"Oficina para formação de adolescentes multiplicadores<br>Encontro educativo sobre gravidez, cuidados com bbê e prevenção";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23572485075818,-22.88915761946662,0']"
"Pç. da Nacional";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23506867019484,-22.88833546944603,0']"
"Pç.Padre de Souza";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2348812859314,-22.88919966876806,0']"
"";"Lan-House";"Cidade de Deus - Mapa PCU";"point";"[u'-43.238951,-22.889055,0']"
"";"lan house";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23678867264411,-22.8889590492788,0']"
"";"lan house";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2377722813785,-22.88887231897899,0']"
"Amigos da sueca";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23484508969929,-22.88810011901239,0']"
"";"Igreja nossa Senhora de Fatima";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23629792550832,-22.88874691110785,0']"
"";"Aplicação de questionários";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23823880768359,-22.89179722913564,0']"
"3ª idade";"Roda de conversa sobre 3ª idade e saúde da mulher";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23836850731702,-22.89195852209765,0']"
"Saúde da Mulher";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23736472157928,-22.88897725356395,0']"
"Oficina do Dia dos Pais";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23493606132313,-22.88810921878654,0']"
"";"Debate com vídeo educativo sobre Amamentação do bebê<br>cine - pipoca para crianças e adolescente";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23815156128255,-22.89202515559072,0']"
"";"Almoço comunitário";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23514016496836,-22.8881790773766,0']"
"Oficina de artesanato";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23828961522467,-22.89208924313882,0']"
"Torneio de futebol";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23521146688414,-22.88936772092058,0']"
"Grupo de queimado e de capoeira";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23823057552384,-22.89099912755708,0']"
"Reforço escolar e contação de história";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23810562455935,-22.89189871224155,0']"
"Gravidez, Cuidados com bebê e prevenção";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23583478198338,-22.88910167832303,0']"
"PROA";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20342486526211,-22.93393490823591,0']"
"Associação dos Prazeres/Grupo PROA";"Ass. Prazeres: Trabalha em prol da melhoria da comunidade morros dos Prazeres .<br>GRUPO PROA: Nucle de prevenção das DST/HIV-Aids e promoção de saúde do morro dos Prazeres .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20341904950642,-22.93405339952119,0']"
"";"camelô educativo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20175976318631,-22.93457745083414,0']"
"";"camelô educativo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2028440865663,-22.93241692697781,0']"
"";"Camêlo educativo e roda de conversa";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20395148066289,-22.93605744592772,0']"
"Igreja Assembleia de Deus";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20103163625299,-22.93236188267361,0']"
"Encontro de mães";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20415782319308,-22.93615686335962,0']"
"PS Ernani Agrícola";"É o único posto de saúde do bairro de Santa Teresa que atende diversas aréas e todas as idades .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.189151485687,-22.92129371883864,0']"
"Rádio";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20336401012672,-22.93401849441876,0']"
"Casarão dos Prazeres";"Aréa de Educação e Recreação para toda família .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20221487888086,-22.93483109696976,0']"
"Centro Comunitário dos Prazeres";"Quadra esportiva .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20339234996007,-22.93401693709804,0']"
"CRAS-Arismania";"Serviço de assistencia social da prefeitura do Rio de Janeiro que atende moradores do centro .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18734689528314,-22.90535055519159,0']"
"Instituto Pólem";"Trabalha com informática é audio visual .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20355538974398,-22.93275814175427,0']"
"Creche José M.de Oliveira";"Creche José Marim de Oliveira: atende crianças de três meses a quatro anos de idade .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20256858904423,-22.9349176212028,0']"
"E.E. Monteiro de Carvalho";"Atende adolescente e jovens do ensino médio .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.19935523105631,-22.93437420439513,0']"
"E.M. Orlando Villas Bôas";"Atende criança e adolescente da 3º séria do segundo ciclo  a 9º a série";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18611780849675,-22.91687008196224,0']"
"E.M. Guetemala";"Atende crianças do primeiro au segundo ciclo .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18809902185381,-22.91795254387432,0']"
"E.M. Julia L. Almeida";"EM Julia Lopes Almeida:<br>Escola mais proxima da comunidade que atende crianças do primeiro au segundo ciclo .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20407092439221,-22.9361486012552,0']"
"E.M. Celestino da Silva";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18222534260103,-22.91212496892673,0']"
"";"Campão<br>Campo esportivo do morro dos Prazeres .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20460621845768,-22.93515641681843,0']"
"";"Campo do Japonês<br>Escola de pessoas orinentais .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.19886777096173,-22.93162070157767,0']"
"Quadra esportiva Madame";"Quadra da Madame<br>Quadra esportiva Madame.";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20187935526324,-22.93111108103988,0']"
"";"Praça - Doce mel<br>Local onde as crianças brincam .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20224598452148,-22.93448599509251,0']"
"";"Lan house do Leo .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20420219463815,-22.93385323788282,0']"
"";"camelô na quadra";"Cidade de Deus - Mapa PCU";"point";"[u'-43.20315837741617,-22.93410270518699,0']"
"área atuação ACOPROVI";"";"AMAMU - Mapa PCU";"polys";"[u'-43.36309032235108,-22.9459452952938,0', u'-43.36327236647619,-22.94609431254929,0', u'-43.36339372900022,-22.94622470243172,0', u'-43.36349486366643,-22.94637371933085,0', u'-43.36359599707269,-22.94661587222534,0', u'-43.36369713261249,-22.94674626108768,0', u'-43.36391963468843,-22.94685802071838,0', u'-43.36402077080096,-22.94700703627579,0', u'-43.36408145136996,-22.94717467911769,0', u'-43.36418258726167,-22.94736094775188,0', u'-43.36424326835586,-22.94752859018904,0', u'-43.36440508889076,-22.94767760295036,0', u'-43.3645062262277,-22.94786387063317,0', u'-43.36456690759527,-22.94810601945201,0', u'-43.36474895724645,-22.94831091175803,0', u'-43.3647691840623,-22.94847855300834,0', u'-43.36485009531619,-22.94866481975942,0', u'-43.3649107784516,-22.94886971344644,0', u'-43.364890549844,-22.94911186176353,0', u'-43.36478940896389,-22.94935401077851,0', u'-43.36470849680255,-22.94957753207667,0', u'-43.36460735629521,-22.94976379995665,0', u'-43.3645264441738,-22.94998732034109,0', u'-43.36446576023425,-22.95022946688772,0', u'-43.36440507627025,-22.95039710668164,0', u'-43.3642432520074,-22.95056474686153,0', u'-43.36416234018211,-22.95076963945576,0', u'-43.36414211275371,-22.95097453170787,0', u'-43.36400051658865,-22.95116079750421,0', u'-43.36389937637311,-22.95130980993861,0', u'-43.36387914909281,-22.95153332858299,0', u'-43.36373755249853,-22.95162646107914,0', u'-43.3635150433925,-22.95158920733342,0', u'-43.36331276285606,-22.951589206501,0', u'-43.36311048262178,-22.95162645845768,0', u'-43.36292843046079,-22.95168233681775,0', u'-43.36246318646115,-22.95186859782303,0', u'-43.36226090697238,-22.95188722221145,0', u'-43.36203840002197,-22.95188721962638,0', u'-43.36159338274156,-22.95216661092727,0', u'-43.36153269871998,-22.95218523653135,0', u'-43.36139110106042,-22.95233424639186,0', u'-43.36118881863529,-22.95252050821084,0', u'-43.36100676458258,-22.95265089069601,0', u'-43.36076402501021,-22.95283715171836,0', u'-43.3606426553234,-22.95291165572564,0', u'-43.36048082759503,-22.95306066515504,0', u'-43.36017740382933,-22.95317241861372,0', u'-43.36003580620104,-22.9532096686582,0', u'-43.35979306500492,-22.95334004985989,0', u'-43.35963123875192,-22.9533772995121,0', u'-43.3593682727954,-22.95337729331978,0', u'-43.3591659917883,-22.95335866170505,0', u'-43.35892325430103,-22.95334002890457,0', u'-43.35866028762166,-22.9533400220438,0', u'-43.3584984598614,-22.95337727112027,0', u'-43.35825572246075,-22.95334001101239,0', u'-43.35821527382778,-22.953172369718,0', u'-43.35825574353882,-22.95289297106605,0', u'-43.35837712440039,-22.95263220207291,0', u'-43.35857942335337,-22.95220379728535,0', u'-43.3591458410264,-22.95123523650578,0', u'-43.35953019545496,-22.95035980420751,0', u'-43.35957065739892,-22.95013628787413,0', u'-43.35965158221352,-22.94963337518424,0', u'-43.35967181184035,-22.94955886974973,0', u'-43.35973250167031,-22.94929810007236,0', u'-43.35971228039345,-22.94907458096262,0', u'-43.35973251497115,-22.94881380952677,0', u'-43.35973252001858,-22.94862754340274,0', u'-43.35977298178538,-22.94836677131546,0', u'-43.35983366935483,-22.94816187929261,0', u'-43.36001572365446,-22.94784522918552,0', u'-43.36009663674656,-22.94769621703103,0', u'-43.36013709643877,-22.94749132276042,0', u'-43.36013710147041,-22.94728642693518,0', u'-43.36027869620577,-22.94713741460299,0', u'-43.36050120123537,-22.94693252252483,0', u'-43.36066302122486,-22.94685801750073,0', u'-43.36084506718689,-22.94683939384199,0', u'-43.36104734379621,-22.94667175334867,0', u'-43.36133052746907,-22.94659724844457,0', u'-43.36163393693752,-22.94659725132734,0', u'-43.36191712220282,-22.9464668630114,0', u'-43.3623014473668,-22.94620608226436,0', u'-43.36288805142632,-22.94577765022929,0', u'-43.36309032235108,-22.9459452952938,0']"
"GAL  ACOPROVI";"Primera area de atuação do GAL  ACOPROVI";"AMAMU - Mapa PCU";"point";"[u'-43.36109805348831,-22.95178969383062,0']"
"E.M. Augusto Magine";"";"AMAMU - Mapa PCU";"point";"[u'-43.3627026417016,-22.95109163570611,0']"
"C.E. Alphonsus Guimarães";"";"AMAMU - Mapa PCU";"point";"[u'-43.35897387761506,-22.95074770915406,0']"
"E. M. Leila Barcellos";"";"AMAMU - Mapa PCU";"point";"[u'-43.36198521306232,-22.95080889427307,0']"
"P.S. Hamilton";"Atende a comunidade sem dialogo nenhum";"AMAMU - Mapa PCU";"point";"[u'-43.35921977205128,-22.950192860892,0']"
"";"DPO";"AMAMU - Mapa PCU";"point";"[u'-43.35946849642142,-22.94995604138089,0']"
"";"Patrulha policial<br>Carro da policia";"AMAMU - Mapa PCU";"point";"[u'-43.36245739455343,-22.94878627812804,0']"
"";"Cabine da Policia<br>Ronda policial";"AMAMU - Mapa PCU";"point";"[u'-43.360394191986,-22.94753311768397,0']"
"";"Cabine Policial Linha Amarela<br>Ronda Policial";"AMAMU - Mapa PCU";"point";"[u'-43.35754368516862,-22.95351385416599,0']"
